date,sessions
2022-01-01,1001.116525519466
2022-01-02,1012.8249850201671
2022-01-03,1497.4676612646358
2022-01-04,1504.4464782209977
2022-01-05,1603.1938972771075
2022-01-06,1587.559176886051
2022-01-07,1528.280068301525
2022-01-08,994.7151292121288
2022-01-09,976.6034825365224
2022-01-10,1627.055747681678
2022-01-11,
2022-01-12,1434.7864433141217
2022-01-13,1506.1774378542368
2022-01-14,1558.104871767475
2022-01-15,1075.7262567532325
2022-01-16,1195.397807268383
2022-01-17,1672.1359878251817
2022-01-18,1586.7124706159927
2022-01-19,1511.779016034688
2022-01-20,1422.1826505987872
2022-01-21,1552.294078322431
2022-01-22,1198.875865634006
2022-01-23,
2022-01-24,1524.2191741316765
2022-01-25,1594.3180619368582
2022-01-26,1463.248534076578
2022-01-27,1566.27443319756
2022-01-28,1620.3546128693954
2022-01-29,985.780350090331
2022-01-30,1060.21149249141
2022-01-31,1655.5372467118673
2022-02-01,1454.0379913024362
2022-02-02,1588.8816398657295
2022-02-03,1659.304292697852
2022-02-04,1554.2103042767544
2022-02-05,1041.8419333200372
2022-02-06,1135.2598650911334
2022-02-07,1481.6635417356529
2022-02-08,1570.2374567172276
2022-02-09,1440.745433778602
2022-02-10,1535.5522598000382
2022-02-11,1495.1780490276815
2022-02-12,985.8287088736214
2022-02-13,1141.3414994806224
2022-02-14,1599.8491236890716
2022-02-15,1484.356744381676
2022-02-16,1430.53762489758
2022-02-17,1589.2041799006042
2022-02-18,1471.5196960347141
2022-02-19,1072.1202600985323
2022-02-20,1081.0890184865427
2022-02-21,1572.4756561892395
2022-02-22,1392.9811670814706
2022-02-23,1439.620242340808
2022-02-24,1407.8195705077494
2022-02-25,1536.0144947449053
2022-02-26,1072.4021564106463
2022-02-27,1058.2309335787047
2022-02-28,1634.8475752603965
2022-03-01,1429.7251105311284
2022-03-02,1527.5295818439904
2022-03-03,1542.041013553166
2022-03-04,1572.1059866242624
2022-03-05,1065.1385233953984
2022-03-06,1017.630444276577
2022-03-07,1671.2627751424734
2022-03-08,1617.8525332819713
2022-03-09,1557.7342157466635
2022-03-10,1628.8571172542047
2022-03-11,1591.5299899564334
2022-03-12,1219.5318981712778
2022-03-13,1048.8110993857867
2022-03-14,1622.1743753782039
2022-03-15,1497.0079477368058
2022-03-16,1447.4457639558134
2022-03-17,1609.962834450262
2022-03-18,1503.2915248675151
2022-03-19,1114.2560486821046
2022-03-20,951.0482265914625
2022-03-21,1657.3819635875132
2022-03-22,1514.7389929974788
2022-03-23,1565.3520327967838
2022-03-24,1565.5477625146143
2022-03-25,1593.7006430589213
2022-03-26,2312.421836737463
2022-03-27,1045.349066547229
2022-03-28,1554.1523279506707
2022-03-29,1544.59454747394
2022-03-30,1531.2581626827755
2022-03-31,1514.1472567720066
2022-04-01,1535.4801693889926
2022-04-02,1099.6851030833552
2022-04-03,1096.6555829201911
2022-04-04,1678.4686897951444
2022-04-05,1464.9331548037035
2022-04-06,1454.0967437029803
2022-04-07,1550.055006387424
2022-04-08,1618.8345173800055
2022-04-09,1055.9757144712191
2022-04-10,1205.5495286508437
2022-04-11,1470.3732166295613
2022-04-12,1547.703324566877
2022-04-13,1512.1977026728346
2022-04-14,1419.1163062395065
2022-04-15,1574.411755360437
2022-04-16,
2022-04-17,1133.6188555973476
2022-04-18,1473.6330439332885
2022-04-19,1515.0417045134318
2022-04-20,1630.9275086120012
2022-04-21,1630.2443023808391
2022-04-22,1381.1833282223574
2022-04-23,1102.1488817524146
2022-04-24,1211.5265638013916
2022-04-25,1641.0564596190495
2022-04-26,1698.9504536172349
2022-04-27,1565.5314843160584
2022-04-28,1505.9433189580257
2022-04-29,1431.0916739482648
2022-04-30,1134.0010892364453
2022-05-01,1117.643633216933
2022-05-02,1565.4033399713383
2022-05-03,1543.4740440546063
2022-05-04,1666.00995832592
2022-05-05,
2022-05-06,1694.942271584045
2022-05-07,1175.7286253461605
2022-05-08,1010.4386511186747
2022-05-09,1634.0757326183202
2022-05-10,1520.1063140550207
2022-05-11,1653.6040424010287
2022-05-12,1529.942510917736
2022-05-13,1644.0956342933837
2022-05-14,1074.8427940857268
2022-05-15,1047.953795416891
2022-05-16,1551.0872604300366
2022-05-17,1662.8117512757644
2022-05-18,1573.4517727966472
2022-05-19,1686.8121010595378
2022-05-20,1728.5424427335288
2022-05-21,1155.6589386116575
2022-05-22,1078.784334076407
2022-05-23,1744.6623490516286
2022-05-24,1595.600388745747
2022-05-25,1534.6548785873965
2022-05-26,1518.980442503254
2022-05-27,
2022-05-28,1099.5136580694543
2022-05-29,1075.378476779138
2022-05-30,1686.43249669735
2022-05-31,1622.5986288919823
2022-06-01,1238.6049604905513
2022-06-02,1268.5960187426151
2022-06-03,1247.2680170143717
2022-06-04,900.9294016551112
2022-06-05,841.9419218103669
2022-06-06,1205.8707317695225
2022-06-07,1190.3667711524647
2022-06-08,1204.1126168101634
2022-06-09,1316.2073382114588
2022-06-10,1294.1511291322577
2022-06-11,885.9036627224305
2022-06-12,786.4487677894946
2022-06-13,1270.500642078759
2022-06-14,1195.6581786066463
2022-06-15,1384.6735825717153
2022-06-16,1289.1227658544306
2022-06-17,1401.6058199304737
2022-06-18,871.6569478949019
2022-06-19,968.7646577714877
2022-06-20,1324.9727626721435
2022-06-21,1344.4680365799652
2022-06-22,1176.380379648917
2022-06-23,1378.2571477780589
2022-06-24,1244.1138795586303
2022-06-25,919.6225672378615
2022-06-26,924.6510064031247
2022-06-27,1328.2031221420846
2022-06-28,1247.4338357816207
2022-06-29,1248.1984892350965
2022-06-30,1265.5514362333815
2022-07-01,1270.1040989974163
2022-07-02,862.8838574767107
2022-07-03,898.8309708698517
2022-07-04,1258.652658548408
2022-07-05,1234.4956530539516
2022-07-06,1149.2723240796804
2022-07-07,1311.7620538908202
2022-07-08,1266.0354722967022
2022-07-09,978.8094131966146
2022-07-10,944.4576612720626
2022-07-11,1268.1510025790074
2022-07-12,1282.0279259729866
2022-07-13,1315.3228446124622
2022-07-14,1243.6752382452562
2022-07-15,1333.13754456867
2022-07-16,977.9902730687558
2022-07-17,920.8871058476867
2022-07-18,1386.4560408709713
2022-07-19,1214.714002831374
2022-07-20,1289.0937574112384
2022-07-21,1255.6355564088392
2022-07-22,1238.9808328863608
2022-07-23,853.3296757958248
2022-07-24,952.5955582516852
2022-07-25,1341.897287186841
2022-07-26,1303.3342778754147
2022-07-27,1323.8376561290745
2022-07-28,1321.0814118033552
2022-07-29,1297.1633321975737
2022-07-30,838.5251525819154
2022-07-31,935.7987203485891
2022-08-01,1396.0408639280836
2022-08-02,
2022-08-03,1486.1231366912066
2022-08-04,1254.2816158239375
2022-08-05,1200.8515721009644
2022-08-06,933.2451212938704
2022-08-07,943.1167699334786
2022-08-08,
2022-08-09,1353.758491882384
2022-08-10,1260.5720995308022
2022-08-11,1385.5619820375355
2022-08-12,1299.301554007319
2022-08-13,959.648534559258
2022-08-14,921.0491616624081
2022-08-15,3004.1932442279517
2022-08-16,1304.0929725817361
2022-08-17,1320.9752418868698
2022-08-18,3874.1305156220433
2022-08-19,1289.869564486913
2022-08-20,901.3352115763655
2022-08-21,902.7079650423548
2022-08-22,1496.303286400784
2022-08-23,1310.8598761721419
2022-08-24,1192.6287400210274
2022-08-25,1360.1747890887614
2022-08-26,1220.200349114111
2022-08-27,942.3742157933791
2022-08-28,867.914246174463
2022-08-29,1304.3775925094753
2022-08-30,1253.8178781469708
2022-08-31,1253.415013262638
2022-09-01,1698.8484534730678
2022-09-02,1645.1789142443254
